Judul,Sub Judul,No. ISBN,Penulis,Jumlah Halaman,Berat Buku,Jenis Cover,Isi,Dimensi (L x P),Harga,Deskripsi,URL,Thumbnail URL
Yesus di Perkawinan!,Kisah Si Kucing,978-602-,Nick Butterworth,24 halaman,70 gram,Soft cover,HVS 100,15 x 17 cm, Rp. 24.000,"Setelah Seri Cerita Tuhan Yesus, Nick Butterworth beraksi kembali dalam seri Cerita Favorit di Alkitab tentang Yesus. Dengan imajinasinya, muncul empat binatang yang berkisah tentang kehidupan Tuhan Yesus yang menakjubkan. Rubah berkisah tentang Yesus Lahir, Kucing berkisah tentang Perkawinan di Kana, Burung Murai berkisah tentang Pertemuan Yesus dengan Zakheus, dan Tikus berkisah tentang Yesus yang tidur di tengah badai. Wow, peristiwa dalam kehidupan Tuhan Yesus yang dikisahkan ulang dalam bahasa yang sederhana, dengan ilustrasi Mick Inkpen yang lucu.",http://www.penerbitbinakasih.com/316-buku-yesus-di-perkawinan%21.html,http://www.penerbitbinakasih.com/images/products/product_316.jpg
Yesus Hentikan Badai!,Kisah Si Tikus,978-602-,Nick Butterworth,24 halaman,70 gram,Soft cover,HVS 100,15 x 17 cm, Rp. 24.000,"Setelah Seri Cerita Tuhan Yesus, Nick Butterworth beraksi kembali dalam seri Cerita Favorit di Alkitab tentang Yesus. Dengan imajinasinya, muncul empat binatang yang berkisah tentang kehidupan Tuhan Yesus yang menakjubkan. Rubah berkisah tentang Yesus Lahir, Kucing berkisah tentang Perkawinan di Kana, Burung Murai berkisah tentang Pertemuan Yesus dengan Zakheus, dan Tikus berkisah tentang Yesus yang tidur di tengah badai. Wow, peristiwa dalam kehidupan Tuhan Yesus yang dikisahkan ulang dalam bahasa yang sederhana, dengan ilustrasi Mick Inkpen yang lucu.",http://www.penerbitbinakasih.com/318-buku-yesus-hentikan-badai%21.html,http://www.penerbitbinakasih.com/images/products/product_318.jpg
Yesus Lahir!,Kisah Si Rubah,978-602-,Nick Butterworth,24 halaman,70 gram,Soft cover,HVS 100,15 x 17 cm, Rp. 24.000,"Setelah Seri Cerita Tuhan Yesus, Nick Butterworth beraksi kembali dalam seri Cerita Favorit di Alkitab tentang Yesus. Dengan imajinasinya, muncul empat binatang yang berkisah tentang kehidupan Tuhan Yesus yang menakjubkan. Rubah berkisah tentang Yesus Lahir, Kucing berkisah tentang Perkawinan di Kana, Burung Murai berkisah tentang Pertemuan Yesus dengan Zakheus, dan Tikus berkisah tentang Yesus yang tidur di tengah badai. Wow, peristiwa dalam kehidupan Tuhan Yesus yang dikisahkan ulang dalam bahasa yang sederhana, dengan ilustrasi Mick Inkpen yang lucu.",http://www.penerbitbinakasih.com/315-buku-yesus-lahir%21.html,http://www.penerbitbinakasih.com/images/products/product_315.jpg
Yesus Jumpai Zakheus!,Kisah Si Burung Murai,978-602-,Nick Butterworth,24 halaman,70 gram,Soft cover,HVS 100,15 x 17 cm, Rp. 24.000,"Setelah Seri Cerita Tuhan Yesus, Nick Butterworth beraksi kembali dalam seri Cerita Favorit di Alkitab tentang Yesus. Dengan imajinasinya, muncul empat binatang yang berkisah tentang kehidupan Tuhan Yesus yang menakjubkan. Rubah berkisah tentang Yesus Lahir, Kucing berkisah tentang Perkawinan di Kana, Burung Murai berkisah tentang Pertemuan Yesus dengan Zakheus, dan Tikus berkisah tentang Yesus yang tidur di tengah badai. Wow, peristiwa dalam kehidupan Tuhan Yesus yang dikisahkan ulang dalam bahasa yang sederhana, dengan ilustrasi Mick Inkpen yang lucu.",http://www.penerbitbinakasih.com/317-buku-yesus-jumpai-zakheus%21.html,http://www.penerbitbinakasih.com/images/products/product_317.jpg
Jangan Lepas Tangan!,Mari berpartisipasi-bersuara dan memilih,978-602-8009-14-0,John Stott-Yonky Karman,108 halaman,40 gram,soft cover,HVS 70,11x18 cm, Rp. 17.000,"Bagi pengikut Kristus, imannya akan Kristus seharusnya nyata dalam pelayanannya di dunia. Sia-sia jika peranan Injil tidak terasa dalam menciptakan tatanan politik dan sosial yang adil—untuk menyejahterakan umat manusia.
Buku saku ini melengkapi kita berperan aktif sebagai warga negara yang bertanggung jawab. Diawali dengan mempertanyakan:
·         Apa jaminan bahwa pendapat kita benar?
·         Apakah harus kita paksakan pandangan-pandangan kita?
·         Apakah memilih itu hak politik?
Dengan memuat tiga artikel berbobot karya John Stott dan Yonky Karman, dan dilengkapi daftar pertanyaan, buku ini pas sebagai bahan diskusi menarik dan hangat. 
Membangun nalar alkitabiah dalam berpolitik, mengundang campur tangan Tuhan dalam karya kita sebagai warga negara.",http://www.penerbitbinakasih.com/102-buku-jangan-lepas-tangan%21-.html,http://www.penerbitbinakasih.com/images/products/product_102.jpg
Gereja dan Bergereja - apa dan bagaimana?,, 979-9143-55-1,M.B. Dainton,130 halaman,120 gram,soft cover,HVS 70,13x18 cm, Rp. 12.000,"Gereja dan bergereja
Siapakah yang disebut umat Allah?                                                                                                                              
Umat pilihan, bangsa yang kudus itu?
Alkitab menguraikan arti umat Allah. Juga peranannya dalam kehidupan berbangsa dan bernegara.
Lalu bagaimana konteks umat Allah pada masa kini? Khususnya umat Allah di Indonesia?
Buku ini mengupasnya secara rinci berdasarkan nalar alkitabiah. Justru setelah membaca buku ini, kita dapat mengerti jelas hakikat gereja, juga kemelut yang melanda gereja akhir-akhir ini.",http://www.penerbitbinakasih.com/116-buku-gereja-dan-bergereja---apa-dan-bagaimana%3F.html,http://www.penerbitbinakasih.com/images/products/product_116.jpg
Cerita-cerita Kocak Menakjubkan,Menyingkap misteri maut,979-9143-02-0,Paul White,76 halaman,110 gram,soft cover,HVS 70,16x24 cm, Rp. 20.000,"Di klinik kecil di tepi rimba raya Tanganyika, Afrika, seorang dokter dan asistennya, Daudi, melayani dan mengobati pasien mereka. Daudi selalu mengingatkan mereka akan adanya penyakit lain yang sangat mematikan. Tiap malam ia mengumpulkan pasiennya. Menceritakan penyakit itu dengan memakai tokoh-tokoh binatang.
Karakter binatang-binatang itu menggambarkan sifat manusia yang berdosa: keras kepala, sok pintar, rakus, dan sombong. Tapi justru sifat-sifat itu lucu, kocak, dan membuat kita tersipu-sipu.
Cocok untuk pembaca tua muda! Kisahnya sederhana namun dalam.",http://www.penerbitbinakasih.com/173-buku-cerita-cerita-kocak-menakjubkan-.html,http://www.penerbitbinakasih.com/images/products/product_173.jpg
Ajarlah Kami Berdoa,STOCK KOSONG,978-979-9143-82-2,Graham Roberts,108 halaman,100 gram,soft cover,HVS 70,13x18 cm, Rp. 0,"Tuhan Yesus berdoa. Bahkan seluruh hidup-Nya adalah teladan doa. Dalam doa Ia taat dan pasrah kepada kehendak dan kedaulatan Ilahi.
Itulah yang disajikan dalam buku ini. Unsur-unsur asasi dari doa yang begitu penting kita ketahui. Dengan demikian kita dapat tahu arti dari pasrah dan setia berdoa, peranan doa, dan terlebih lagi “doa yang diindahkan” Tuhan.",http://www.penerbitbinakasih.com/72-buku-ajarlah-kami-berdoa-.html,http://www.penerbitbinakasih.com/images/products/product_72.jpg
Terlalu Sibuk? Justru Harus Berdoa,STOCK KOSONG,978-602-8009-16-4,Bill Hybels,218 halaman,250 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 0,"Sejak edisi pertamanya terbit 20 tahun lalu, buku Terlalu Sibuk?Justru Harus Berdoa menjadi buku monumental. Kita diajak meluangkan waktu khusus untuk berdoa di tempat khusus, berkomunikasi akrab dan intim dengan Allah Bapa kita. Saran praktis yang diembannya tetap relevan bahkan makin mendesak, karena dunia semakin cepat berputar dan segala sesuatu di dalamnya semakin serbainstan.

Direvisi secara keseluruhan dan disertai bab baru khusus membahas ”Kebutuhan di Sekitar Kita”, edisi ini mengingatkan bahwa Allah memanggil kita untuk tugas khusus di dunia ini yang sangat membutuhkan pertolongan. Dan semuanya dimulai dengan doa. Kekekalan dan kemahakuasaan Allah dapat kita saksikan dan alami secara pribadi, hanya saat kita merendahkan diri—bertekuk lutut dan berdoa.

Bahasanya sederhana dan khas. Dilengkapi bahan diskusi segar. Sangat cocok digunakan para hamba Tuhan, pendeta, aktivis gereja, maupun siapa saja yang rindu meningkatkan kehidupan doanya bersama Allah.",http://www.penerbitbinakasih.com/74-buku-terlalu-sibuk%3F-justru-harus-berdoa-.html,http://www.penerbitbinakasih.com/images/products/product_74.jpg
Kehendak-Mu Jadi!,STOCK KOSONG,978-602-8009-43-0,H. Westerlink,184 halaman,200 gram,soft cover,HVS 70,"14,5 x 21 cm", Rp. 0,"Apakah gunanya kita berdoa? Bukankah Allah mengetahui segala sesuatu? Apakah yang masih perlu kita katakan lagi kepada-Nya? Bukankah Allah bekerja dalam segala hal sesuai keputusan-Nya yang abadi?
Dapatkah Allah dibujuk dengan doa? Mungkinkah Ia membiarkan diri-Nya terbujuk? Bukankah segala rencana- Nya sudah diputuskan-Nya? 
Berdoa itu begitu sederhana, sehingga anak kecil pun dapat dan boleh melakukannya: ”Tuhan, berkatilah makanan ini. Amin.” Berdoa itu begitu sulit, sehingga orang dewasa pun kadang merasa sukar melakukannya dan memohon, ”Tuhan, ajarlah kami berdoa!” 
Dengan berdoa, segala harta berupa janji-janji Allah kita gali keluar sehingga menjadi milik kita. Dengan berdoa kita menarik Tuhan sepenuhnya kepada kita, supaya dengan nyata Ia membuktikan kehadiran dan pertolongan-Nya kepada kita. Dalam doa kita akan menjumpai telinga yang bersedia mendengarkan dan hati yang penuh belas kasihan! 
Dilengkapi dengan rujukan nas-nas Alkitab, penulis menolong kita untuk berdoa sesuai maksud dan tujuan Allah, yang akan memampukan kita berseru, ”Kehendak- Mu Jadi!”",http://www.penerbitbinakasih.com/257-buku-kehendak-mu-jadi%21.html,http://www.penerbitbinakasih.com/images/products/product_257.jpg
